==========================================
SLURM_JOB_ID = 380722
SLURM_NODELIST = gnode82
SLURM_JOB_GPUS = 0,1
==========================================
[NbConvertApp] Converting notebook Training.ipynb to script
[NbConvertApp] Writing 3088 bytes to Training.txt
2021-05-02 15:05:41.187852: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'libcudart.so.11.0'; dlerror: libcudart.so.11.0: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: :/home/shaunak/lammps_test_7thAug19_sm_60/lammps-stable/lammps-25Oct19/src
2021-05-02 15:05:41.188038: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-02 15:05:52.418849: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-02 15:05:52.420588: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcuda.so.1
2021-05-02 15:05:52.435741: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1720] Found device 0 with properties: 
pciBusID: 0000:02:00.0 name: GeForce RTX 2080 Ti computeCapability: 7.5
coreClock: 1.545GHz coreCount: 68 deviceMemorySize: 10.76GiB deviceMemoryBandwidth: 573.69GiB/s
2021-05-02 15:05:52.436487: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1720] Found device 1 with properties: 
pciBusID: 0000:03:00.0 name: GeForce RTX 2080 Ti computeCapability: 7.5
coreClock: 1.545GHz coreCount: 68 deviceMemorySize: 10.76GiB deviceMemoryBandwidth: 573.69GiB/s
2021-05-02 15:05:52.436573: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'libcudart.so.11.0'; dlerror: libcudart.so.11.0: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: :/home/shaunak/lammps_test_7thAug19_sm_60/lammps-stable/lammps-25Oct19/src
2021-05-02 15:05:52.437494: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'libcublas.so.11'; dlerror: libcublas.so.11: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: :/home/shaunak/lammps_test_7thAug19_sm_60/lammps-stable/lammps-25Oct19/src
2021-05-02 15:05:52.438445: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'libcublasLt.so.11'; dlerror: libcublasLt.so.11: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: :/home/shaunak/lammps_test_7thAug19_sm_60/lammps-stable/lammps-25Oct19/src
2021-05-02 15:05:52.486422: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcufft.so.10
2021-05-02 15:05:52.495468: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcurand.so.10
2021-05-02 15:05:52.574007: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcusolver.so.10
2021-05-02 15:05:52.574814: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'libcusparse.so.11'; dlerror: libcusparse.so.11: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: :/home/shaunak/lammps_test_7thAug19_sm_60/lammps-stable/lammps-25Oct19/src
2021-05-02 15:05:52.575478: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'libcudnn.so.8'; dlerror: libcudnn.so.8: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: :/home/shaunak/lammps_test_7thAug19_sm_60/lammps-stable/lammps-25Oct19/src
2021-05-02 15:05:52.575491: W tensorflow/core/common_runtime/gpu/gpu_device.cc:1757] Cannot dlopen some GPU libraries. Please make sure the missing libraries mentioned above are installed properly if you would like to use GPU. Follow the guide at https://www.tensorflow.org/install/gpu for how to download and setup the required libraries for your platform.
Skipping registering GPU devices...
2021-05-02 15:05:52.577139: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-02 15:05:52.577169: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1261] Device interconnect StreamExecutor with strength 1 edge matrix:
2021-05-02 15:05:52.577178: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1267]      
2021-05-02 22:01:54.597714: W tensorflow/python/util/util.cc:348] Sets are not currently considered sequences, but this may change in the future, so consider avoiding using them.
Step	Error	R2

0	4723449344.0	-955257727.0730952

10	4551498240.0	-920482828.4875442

20	909935424.0	-184022911.28657058

30	36931.328125	-7467.890601637081

40	80268.171875	-16232.217806746345

50	71493.171875	-14457.58592267071

60	74386.84375	-15042.79237217701

70	21351.4453125	-4317.058061112427

80	62476.9296875	-12634.165305532744

90	68915.5625	-13936.296748340317

100	83027.875	-16790.330849018275

110	14796.4482421875	-2991.39310876446

120	50862.984375	-10285.391771896062

130	20147.98046875	-4073.672724413867

140	16430.236328125	-3321.807136093523

150	26991.69921875	-5457.727650077799

160	33740.08984375	-6822.504049136165

170	21168.87109375	-4280.1349407392

180	11160.423828125	-2256.0541125665245

190	81858.1328125	-16553.77196453355

200	61652.01953125	-12467.338542695335

210	8521.2861328125	-1722.3219435028884

220	200465.3125	-40540.56229463674

230	222039.890625	-44903.74558617863

240	158687.75	-32091.58381602806

250	5311.5107421875	-1073.185624488132

260	8087.78857421875	-1634.652213012874

270	12369.2744140625	-2500.528188675139

280	4188.90771484375	-846.1533492120546

290	3471.4091796875	-701.048254871067

300	15262.4609375	-3085.638266582647

310	24462.390625	-4946.207002089613

320	205393.46875	-41537.2303815546

330	141985.265625	-28713.719529231435

340	213252.578125	-43126.630865663225

350	4935.92333984375	-997.2274989102767

360	12875.537109375	-2602.9133021429525

370	43492.80859375	-8794.869629588675

380	161064.171875	-32572.187152906816

390	2238.212158203125	-451.64997170558024

400	129625.3828125	-26214.090209999533

410	2160.987548828125	-436.032295881544

420	144656.078125	-29253.858115780706

430	3270.02392578125	-660.3209483604139

440	23686.451171875	-4789.284685433106

450	46791.84375	-9462.056054841005

460	7051.9873046875	-1425.174487696183

470	2178.945556640625	-439.66393877546955

480	34810.0546875	-7038.892779957061

490	29163.908203125	-5897.030594250427

500	11167.9404296875	-2257.573536026414

510	22537.27734375	-4556.877627807611

520	99214.3515625	-20063.8473794533

530	39693.64453125	-8026.536654010246

540	3346.255126953125	-675.7377918968192

550	1539.36083984375	-310.31616990481245

560	37396.171875	-7561.901971130905

570	5400.37548828125	-1091.1570696899971

580	38243.8671875	-7733.3350046364685

590	13272.4990234375	-2683.194694589294

600	42482.21875	-8590.489925439835

610	4532.70703125	-915.6823028131316

620	4958.2421875	-1001.7412338815177

630	143953.03125	-29111.676986569488

640	18954.201171875	-3832.2471469901134

650	35581.80078125	-7194.968089848813

660	32209.224609375	-6512.906837782335

670	81671.5078125	-16516.028871836443

680	26997.392578125	-5458.879076318098

690	21839.384765625	-4415.7390929655685

700	10126.2978515625	-2046.9153050613545

710	81462.390625	-16473.736696154774

720	144721.078125	-29267.00419685126

730	6418.4765625	-1297.0557523116793

740	16205.9140625	-3276.440839373152

750	1632.92822265625	-329.2391437992976

760	127484.0390625	-25781.02653212811

770	6780.41064453125	-1370.2522085465225

780	31180.2109375	-6304.802525883629

790	134315.953125	-27162.699134069087

800	6126.05078125	-1237.9163413244098

810	12356.5927734375	-2497.9644912166564

820	3782.661376953125	-763.9953955474483

830	3792.41650390625	-765.9683308416655

840	1105.08203125	-222.48882707042395

850	4881.9169921875	-986.305843020868

860	37233.94921875	-7529.094513966801

870	5533.3525390625	-1118.050016482693

880	4664.42138671875	-942.3202615939279

890	801.8033447265625	-161.15467014287645

900	2080.5302734375	-419.7606822801808

910	3142.5478515625	-634.5405900684447

920	1058.0865478515625	-212.984609470212

930	1685.29931640625	-339.83030602531176

940	1235.2132568359375	-248.8063385124146

950	17535.103515625	-3545.252724277478

960	7913.3974609375	-1599.384418016175

970	865.0226440429688	-173.93999375930113

980	36592.3828125	-7399.346510795431

990	64082.7890625	-12958.932076232953

1000	1288.078125	-259.49761285613175

1010	111955.3515625	-22640.551191756265

1020	1003.69873046875	-201.98548827724073

1030	138141.90625	-27936.44904131928

1040	864.3533935546875	-173.8046645923045

1050	34151.57421875	-6905.722602470572

1060	64752.36328125	-13094.344934367164

1070	34909.046875	-7058.912108293874

1080	111631.875	-22575.126745648784

1090	1359.6031494140625	-273.96265446849435

1100	63831.33984375	-12908.078076443415

1110	14502.7734375	-2932.0022848265016

1120	46565.8359375	-9416.349383179206

1130	34157.12890625	-6906.84662422182

